Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,League,Foreign
1,Luis Abram,PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,1f462f95,LaLiga,True
2,Marcos Acuña,ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,1.2,1.2,2.9,4.1,73.0,131.0,153.0,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16,Matches,81442ecb,LaLiga,True
3,Martin Agirregabiria,ESP,DF,Alavés,25,1996,24,17,1616,18.0,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15.0,57.0,40.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches,355c883a,LaLiga,False
4,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,a2c1a8d3,LaLiga,False
5,Sergio Agüero,ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,4.0,3.0,13.0,0.6,0.0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68,Matches,4d034881,LaLiga,True
6,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,93b054dc,LaLiga,False
7,Joseph Aidoo,GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,18abe173,LaLiga,True
8,Carlos Akapo,EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,f2a68b97,LaLiga,True
9,Ilias Akhomach,ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.11,0.43,0.54,0.11,0.54,Matches,b8bd60fe,LaLiga,False
10,Paul Akouokou,CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,3.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,31f5b89b,LaLiga,True
11,David Alaba,AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40.0,154.0,76.0,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13,Matches,05439de2,LaLiga,True
12,Tomás Alarcón,CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.2,6.0,55.0,13.0,0.0,0.06,0.06,0.0,0.06,0.07,0.07,0.14,0.07,0.14,Matches,99ea2ddd,LaLiga,True
13,Jordi Alba,ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47.0,291.0,213.0,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29,Matches,4601e194,LaLiga,False
14,Raúl Albiol,ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches,4bd414c1,LaLiga,False
15,Paco Alcácer,ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,3.9,1.6,5.5,4.0,10.0,45.0,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63,Matches,a7a9d95a,LaLiga,False
16,Rubén Alcaraz,ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,1.3,1.3,0.9,2.3,26.0,87.0,21.0,0.16,0.0,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18,Matches,036bba5f,LaLiga,False
17,Omar Alderete,PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,2,0,0,15,0,0.8,0.8,0.1,1.0,17.0,89.0,3.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Matches,bb08bce9,LaLiga,True
18,Iván Alejo,ESP,MFFW,Cádiz,26,1995,20,11,1065,11.8,2,2,4,2,0,0,7,0,1.4,1.4,1.8,3.2,63.0,25.0,88.0,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27,Matches,3d7e48ce,LaLiga,False
19,Carles Aleñá,ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,3,1,0,0,6,1,1.8,1.8,1.3,3.1,33.0,81.0,65.0,0.04,0.08,0.12,0.04,0.12,0.07,0.05,0.12,0.07,0.12,Matches,6c811eb7,LaLiga,False
20,Mircea Alexandru Tirlea,ROU,DF,Alavés,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,683a1d81,LaLiga,True
21,Hugo Álvarez,ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.39,1.39,1.39,Matches,6f392eb8,LaLiga,False
22,Yeray Álvarez,ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,0,6,0,0.5,0.5,0.1,0.6,16.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,3ecc11d8,LaLiga,False
